Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Contaminant,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Sequest HT,# Protein Pathway Groups,# Razor Peptides,"Abundances (Normalized): F7: 126, Sample","Abundances (Normalized): F7: 127N, Sample","Abundances (Normalized): F7: 127C, Sample","Abundances (Normalized): F7: 128N, Sample","Abundances (Normalized): F7: 128C, Sample","Abundances (Normalized): F7: 129N, Sample","Abundances (Normalized): F7: 129C, Sample","Abundances (Normalized): F7: 130N, Sample","Abundances (Normalized): F7: 130C, Sample","Abundances (Normalized): F7: 131N, Sample","Abundances (Normalized): F7: 131C, Sample","Abundance: F7: 126, Sample","Abundance: F7: 127N, Sample","Abundance: F7: 127C, Sample","Abundance: F7: 128N, Sample","Abundance: F7: 128C, Sample","Abundance: F7: 129N, Sample","Abundance: F7: 129C, Sample","Abundance: F7: 130N, Sample","Abundance: F7: 130C, Sample","Abundance: F7: 131N, Sample","Abundance: F7: 131C, Sample","Found in Sample: [S67] F7: 126, Sample","Found in Sample: [S69] F7: 127C, Sample","Found in Sample: [S68] F7: 127N, Sample","Found in Sample: [S71] F7: 128C, Sample","Found in Sample: [S70] F7: 128N, Sample","Found in Sample: [S73] F7: 129C, Sample","Found in Sample: [S72] F7: 129N, Sample","Found in Sample: [S75] F7: 130C, Sample","Found in Sample: [S74] F7: 130N, Sample","Found in Sample: [S77] F7: 131C, Sample","Found in Sample: [S76] F7: 131N, Sample",# Protein Groups
FALSE,High,Master Protein,P39687,Acidic leucine-rich nuclear phosphoprotein 32 family member A OS=Homo sapiens OX=9606 GN=ANP32A PE=1 SV=1,0,FALSE,128.931,44,18,85,11,249,28.6,4.09,265.69,18,0,8,21412.8,25845.8,26436.4,25452,26097.2,26357,25706.4,26621.3,24940,15550.2,15669.3,9160.2,21008.7,22089.3,23720.5,19801,21874.1,19531.5,19202.9,19586.4,15550.2,13368.4,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,Q9HC38,Glyoxalase domain-containing protein 4 OS=Homo sapiens OX=9606 GN=GLOD4 PE=1 SV=1,0,FALSE,128.931,54,20,62,20,313,34.8,5.6,217.44,20,0,0,16538.9,17391.7,17588.7,16600.4,18250,17834.9,17827.4,17947,17567.5,11399.9,11600.7,7075.2,14136.8,14696.4,15471,13847.1,14801.5,13545.1,12945.8,13796.5,11399.9,9897.2,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,Q96HE7,ERO1-like protein alpha OS=Homo sapiens OX=9606 GN=ERO1A PE=1 SV=2,0,FALSE,128.81,53,19,38,19,468,54.4,5.68,138.57,19,0,0,5918.2,6921.8,6827.3,6608.2,7063.9,6586.9,6871.8,7023.9,6777.8,4589.3,4571.3,2531.8,5626.3,5704.6,6158.6,5359.7,5466.6,5221.1,5066.6,5322.9,4589.3,3900,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,O60749,Sorting nexin-2 OS=Homo sapiens OX=9606 GN=SNX2 PE=1 SV=2,0,FALSE,128.684,42,22,56,20,519,58.4,5.12,190.59,22,0,3,13157.8,11520.9,11423.6,12120.5,11773.5,11265,12085.5,11835.9,11747.7,12655.7,12797.4,5628.8,9364.7,9545.1,11296,8933.1,9349,9182.4,8537.7,9226,12655.7,10918.1,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P22392,Nucleoside diphosphate kinase B OS=Homo sapiens OX=9606 GN=NME2 PE=1 SV=1,0,FALSE,128.54,78,15,143,4,152,17.3,8.41,482.43,15,0,17,29599.8,32977.1,34718,31826.1,35603.4,33762,33563.8,35148.3,32170.8,18659.5,18308.3,12662.5,26805.4,29009.1,29661,27013.8,28019.7,25501.5,25353.7,25265.1,18659.5,15619.8,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P30084,"Enoyl-CoA hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=ECHS1 PE=1 SV=4",0,FALSE,128.254,50,18,57,18,290,31.4,8.07,202.75,18,0,0,14411.5,14561.9,12350.5,13707.2,11478.2,13803.6,13791.2,12695.8,13956.7,17839.5,18663.3,6165.1,11836.6,10319.6,12774.7,8709,11455.9,10478.4,9157.9,10960.8,17839.5,15922.7,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,Q96CV9,Optineurin OS=Homo sapiens OX=9606 GN=OPTN PE=1 SV=3,0,FALSE,128.098,41,25,41,25,577,65.9,5.17,146.47,25,0,0,10919.6,10797.7,10150.6,11005,9845.3,10759.8,10500.5,11016.6,11311.4,9205.2,9439.1,4671.3,8776.9,8481.4,10256.3,7470.1,8929.7,7978.2,7946.7,8883.3,9205.2,8053,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P05198,Eukaryotic translation initiation factor 2 subunit 1 OS=Homo sapiens OX=9606 GN=EIF2S1 PE=1 SV=3,0,FALSE,128.078,63,23,52,23,315,36.1,5.08,188.5,23,0,0,11066.2,11608.4,11561.7,12151.6,11473.8,11875,11943.3,12120.8,12405.6,9517.1,8982.1,4734,9435.8,9660.5,11324.9,8705.7,9855.3,9074.4,8743.1,9742.6,9517.1,7663.1,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,Q4V328,GRIP1-associated protein 1 OS=Homo sapiens OX=9606 GN=GRIPAP1 PE=1 SV=2,0,FALSE,127.991,37,27,40,27,841,95.9,5.11,139.86,27,0,0,7567.3,6814.3,7008.2,7112.4,6888.3,7571.2,6894,7367.8,7505.6,5416.2,5470.4,3237.2,5539,5855.8,6628.5,5226.4,6283.5,5238,5314.7,5894.5,5416.2,4667.1,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,Q6FI81,Anamorsin OS=Homo sapiens OX=9606 GN=CIAPIN1 PE=1 SV=2,0,FALSE,127.981,58,18,38,18,312,33.6,5.62,147.67,18,0,0,8631.5,8530.1,8282.5,8781.6,7284.5,8814,8658.2,8528.9,7544.3,9139.8,9370.4,3692.5,6933.7,6920.6,8184.2,5527,7314.9,6578.4,6152.2,5924.9,9139.8,7994.4,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P13804,"Electron transfer flavoprotein subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ETFA PE=1 SV=1",0,FALSE,127.977,51,14,53,14,333,35.1,8.38,207.23,14,0,0,12111.8,11939.2,11749.8,11397.9,11680.2,11849.8,12026.9,11915,12005.5,11051.5,10851.8,5181.3,9704.7,9817.7,10622.5,8862.2,9834.3,9137.9,8594.7,9428.4,11051.5,9258.2,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,O75439,Mitochondrial-processing peptidase subunit beta OS=Homo sapiens OX=9606 GN=PMPCB PE=1 SV=2,0,FALSE,127.905,38,20,37,20,489,54.3,6.83,144.33,20,0,0,7795,7422.7,6968.6,7355.3,6685.7,7676.3,7227.8,6843.1,6910.5,8136.7,7926.9,3334.6,6033.5,5822.7,6854.9,5072.7,6370.7,5491.6,4936.2,5427.1,8136.7,6762.8,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P36578,60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=5,0,FALSE,127.862,51,26,58,26,427,47.7,11.06,194.61,26,0,0,16054.9,17651.8,16553.2,18217.7,15986.8,14655.7,15452.5,14826.9,15443.9,10546.6,10787.9,6868.2,14348.2,13831.3,16978.3,12129.9,12163,11740.7,10695.2,12128.7,10546.6,9203.7,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,O00267,Transcription elongation factor SPT5 OS=Homo sapiens OX=9606 GN=SUPT5H PE=1 SV=1,0,FALSE,127.824,30,31,49,31,1087,120.9,5.06,151.14,31,0,0,8657.8,8366,7618.3,8454,7711.2,7743.4,7822.4,7123,8158.7,15026.6,14881.6,3703.7,6800.3,6365.6,7878.9,5850.8,6426.4,5943.4,5138.1,6407.3,15026.6,12696.3,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P16989,Y-box-binding protein 3 OS=Homo sapiens OX=9606 GN=YBX3 PE=1 SV=4,0,FALSE,127.694,67,21,72,14,372,40.1,9.77,229.57,21,0,0,3652.3,3733.3,3162.1,3389.7,3520.5,3423.7,3461.6,3503.4,4036,3257.8,3340.9,1562.4,3034.6,2642.1,3159.1,2671.1,2841.4,2630.1,2527.1,3169.6,3257.8,2850.3,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P38117,Electron transfer flavoprotein subunit beta OS=Homo sapiens OX=9606 GN=ETFB PE=1 SV=3,0,FALSE,127.63,66,20,75,20,255,27.8,8.1,253.21,20,0,0,18735.2,18850.5,18243,18893.2,18304.6,18327.5,18576.7,18409.9,18591,15445.9,15866.8,8014.8,15322.6,15243.2,17607.9,13888.5,15210.3,14114.4,13279.7,14600.3,15445.9,13536.8,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,Q6YHU6,Thyroid adenoma-associated protein OS=Homo sapiens OX=9606 GN=THADA PE=1 SV=1,0,FALSE,127.546,18,34,46,34,1953,219.5,6.06,132.09,34,0,0,8715.8,8785.7,9188.2,8586.8,9326,8349.2,8825,9178,8766.1,6887.9,6628.9,3728.5,7141.4,7677.3,8002.6,7076.1,6929.2,6705.1,6620.4,6884.4,6887.9,5655.5,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,Q13310,Polyadenylate-binding protein 4 OS=Homo sapiens OX=9606 GN=PABPC4 PE=1 SV=1,0,FALSE,127.543,39,26,47,15,644,70.7,9.26,145.17,26,0,0,3781.8,3971.6,3646.8,4138.1,3583.6,3882.5,3896.6,3560.7,3823.9,8744,7863.3,1617.8,3228.3,3047.1,3856.6,2719,3222.2,2960.6,2568.5,3003.1,8744,6708.6,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P29692,Elongation factor 1-delta OS=Homo sapiens OX=9606 GN=EEF1D PE=1 SV=5,0,FALSE,127.535,72,20,53,16,281,31.1,5.01,175.8,20,0,4,7180.6,6732.6,6661,7681.4,6392.6,7053.1,6416.3,5015.2,6695.7,25426.7,25859.7,3071.8,5472.6,5565.7,7158.9,4850.3,5853.5,4875,3617.7,5258.4,25426.7,22062.3,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P30837,"Aldehyde dehydrogenase X, mitochondrial OS=Homo sapiens OX=9606 GN=ALDH1B1 PE=1 SV=3",0,FALSE,127.471,39,21,48,19,517,57.2,6.8,177.31,21,0,1,7931.5,6849,7729.1,8134.6,9458.2,8035.3,8227.6,8219.4,9820.4,8473.3,8125,3393,5567.2,6458.1,7581.2,7176.3,6668.6,6251.3,5929,7712.4,8473.3,6931.9,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,Q13907,Isopentenyl-diphosphate Delta-isomerase 1 OS=Homo sapiens OX=9606 GN=IDI1 PE=1 SV=2,0,FALSE,127.407,67,14,40,14,227,26.3,6.34,160.69,14,0,0,8428.4,7498.5,7671.3,7332.3,7379.1,7525.8,7627.1,7792.7,7221.8,4879,4901.2,3605.6,6095.2,6409.9,6833.5,5598.9,6245.8,5795,5621.2,5671.5,4879,4181.4,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,Q6NZY4,Zinc finger CCHC domain-containing protein 8 OS=Homo sapiens OX=9606 GN=ZCCHC8 PE=1 SV=2,0,FALSE,127.397,37,18,28,18,707,78.5,4.87,114.76,18,0,0,3942.6,3940.7,3757.4,3987,3611.2,4248.1,4024.1,4280.1,4297.7,2911.6,2825.7,1686.6,3203.2,3139.5,3715.8,2740,3525.6,3057.5,3087.4,3375.2,2911.6,2410.8,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,Q99447,Ethanolamine-phosphate cytidylyltransferase OS=Homo sapiens OX=9606 GN=PCYT2 PE=1 SV=1,0,FALSE,127.378,54,21,44,21,389,43.8,6.92,141.75,21,0,0,7699,6748.2,6634.3,6618.6,6427.2,6687.7,6610.2,6996.3,6476.9,5841.3,5907.7,3293.6,5485.3,5543.3,6168.4,4876.6,5550.3,5022.4,5046.7,5086.6,5841.3,5040.2,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P55036,26S proteasome non-ATPase regulatory subunit 4 OS=Homo sapiens OX=9606 GN=PSMD4 PE=1 SV=1,0,FALSE,127.017,49,17,59,17,377,40.7,4.79,214.26,17,0,0,10346.4,12093.4,12420.1,13060.7,12014,12639.8,12924.3,12443.8,12449.9,9156.4,9129.7,4426.1,9830.1,10377.8,12172.2,9115.5,10490,9819.8,8976.2,9777.4,9156.4,7789,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P52272,Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=3,0,FALSE,126.997,45,32,41,32,730,77.5,8.7,124.69,32,0,0,6652.6,6027.6,6107,6674,5619.6,6163.8,5827.8,4209.3,5588.4,20082.8,19383.3,2845.9,4899.5,5102.8,6219.9,4263.8,5115.4,4427.9,3036.3,4388.8,20082.8,16537,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,Q99873,Protein arginine N-methyltransferase 1 OS=Homo sapiens OX=9606 GN=PRMT1 PE=1 SV=3,0,FALSE,126.747,52,20,56,20,371,42.4,5.35,191.3,20,0,0,5674.8,6301.3,6372.9,6994.2,6285.7,6178.9,6265.8,5377.4,6300.3,14102.5,14238.4,2427.6,5122,5324.9,6518.4,4769.2,5128,4760.7,3878.9,4947.9,14102.5,12147.6,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,Q96RS6,NudC domain-containing protein 1 OS=Homo sapiens OX=9606 GN=NUDCD1 PE=1 SV=2,0,FALSE,126.692,50,22,50,22,583,66.7,5.11,171.78,22,0,0,8714.3,7773.4,7783.2,7489.4,7679.2,7016.6,7354.5,7708.6,7688.5,7195.3,7592.5,3727.9,6318.6,6503.3,6979.9,5826.5,5823.2,5587.9,5560.5,6038.1,7195.3,6477.6,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P60510,Serine/threonine-protein phosphatase 4 catalytic subunit OS=Homo sapiens OX=9606 GN=PPP4C PE=1 SV=1,0,FALSE,126.289,62,14,37,12,307,35.1,5.06,158.94,14,0,0,3989.4,4282.8,4370.6,4142.6,4404.9,4069.8,4366.5,4549.8,4359,3075.3,3115.8,1706.6,3481.2,3651.9,3860.8,3342.2,3377.6,3317.6,3281.9,3423.3,3075.3,2658.2,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P41091,Eukaryotic translation initiation factor 2 subunit 3 OS=Homo sapiens OX=9606 GN=EIF2S3 PE=1 SV=3,0,FALSE,126.232,52,24,57,24,472,51.1,8.4,185.45,24,0,0,12871.4,13351.5,12616.1,13618.4,12310,13137.4,12726.7,12794.3,13580.1,9397.6,9296.5,5506.3,10852.7,10541.5,12691.9,9340.1,10903,9669.6,9229,10665,9397.6,7931.3,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P48506,Glutamate--cysteine ligase catalytic subunit OS=Homo sapiens OX=9606 GN=GCLC PE=1 SV=2,0,FALSE,126.217,40,21,30,21,637,72.7,6.09,115.92,21,0,0,4740.4,4785,5117.5,4637.5,4522.1,4985.8,4994.8,5030.6,4728.5,4355.4,4123,2027.9,3889.5,4276,4322.1,3431.1,4137.8,3795,3628.8,3713.5,4355.4,3517.6,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,Q9BQA1,Methylosome protein 50 OS=Homo sapiens OX=9606 GN=WDR77 PE=1 SV=1,0,FALSE,126.093,47,13,53,13,342,36.7,5.17,201.81,13,0,0,8295.2,8082.9,8057,7852.9,8109.5,7684,7914.2,8204.4,8154.3,5190.5,5177.7,3548.6,6570.2,6732.1,7318.7,6153,6377.1,6013.1,5918.1,6403.9,5190.5,4417.4,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,Q02750,Dual specificity mitogen-activated protein kinase kinase 1 OS=Homo sapiens OX=9606 GN=MAP2K1 PE=1 SV=2,0,FALSE,125.932,45,16,45,10,393,43.4,6.62,149.48,16,0,0,3798.9,6194.2,4464.4,4645.1,4352.7,4438,6469.3,4929.3,6182.2,3408.1,3487.5,1625.1,5034.9,3730.3,4329.1,3302.5,3683.2,4915.3,3555.7,4855.1,3408.1,2975.4,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P30044,"Peroxiredoxin-5, mitochondrial OS=Homo sapiens OX=9606 GN=PRDX5 PE=1 SV=4",0,FALSE,125.632,65,15,62,15,214,22.1,8.7,219.6,15,0,0,12877.7,14677,13980.4,14162.4,13167.3,13914.8,14454.4,14866.1,15847.1,9765.5,9800.8,5509,11930.2,11681.5,13198.9,9990.6,11548.2,10982.3,10723.5,12445.4,9765.5,8361.6,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,Q9H910,Jupiter microtubule associated homolog 2 OS=Homo sapiens OX=9606 GN=JPT2 PE=1 SV=1,0,FALSE,125.302,79,14,57,14,190,20.1,9.26,171.78,14,0,0,9890.9,8647.6,8100.1,7964.2,7717.5,8606.4,8725.6,8888.8,8858.5,4946.3,5119.6,4231.2,7029.2,6768.2,7422.4,5855.6,7142.6,6629.6,6411.8,6957,4946.3,4367.8,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,Q13098,COP9 signalosome complex subunit 1 OS=Homo sapiens OX=9606 GN=GPS1 PE=1 SV=4,0,FALSE,125.102,46,23,52,23,491,55.5,6.74,175.71,23,0,0,11251.8,9034.6,8712.5,8780.1,8949.6,9244.6,8832,9286.1,9305.8,7544.7,7388,4813.4,7343.7,7279.9,8182.8,6790.4,7672.3,6710.5,6698.4,7308.3,7544.7,6303.1,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P49407,Beta-arrestin-1 OS=Homo sapiens OX=9606 GN=ARRB1 PE=1 SV=2,0,FALSE,124.781,52,17,47,17,418,47,6.2,181.2,17,0,0,8513.7,9337.4,9416.6,9230.5,9510.9,9304.3,9497.2,9761.9,9349.2,6942.2,6829.1,3642.1,7589.9,7868.2,8602.5,7216.3,7721.8,7215.9,7041.6,7342.3,6942.2,5826.3,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P27797,Calreticulin OS=Homo sapiens OX=9606 GN=CALR PE=1 SV=1,0,FALSE,124.667,56,21,48,21,417,48.1,4.44,166.6,21,0,0,5666.5,6863.6,6617.9,8069.8,6342.3,6607.2,6516.1,4122.6,6525.2,31250.2,32373.7,2424.1,5579,5529.7,7520.8,4812.2,5483.5,4950.9,2973.8,5124.5,31250.2,27619.7,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,Q92905,COP9 signalosome complex subunit 5 OS=Homo sapiens OX=9606 GN=COPS5 PE=1 SV=4,0,FALSE,124.564,51,15,37,15,334,37.6,6.54,147.52,15,0,0,8454.4,9924.2,9867.6,9861.7,9832.7,9393.2,9998.1,10050.8,9685.9,6629.3,6614,3616.7,8066.9,8245,9190.8,7460.5,7795.6,7596.5,7250,7606.8,6629.3,5642.7,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P02549,"Spectrin alpha chain, erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTA1 PE=1 SV=5",0,FALSE,124.509,14,29,36,29,2419,279.8,5.05,107.95,29,0,0,4177,2505.3,2584.2,2579.4,2658.4,2558.3,2421.3,1878.1,2491.2,9550.6,10282.9,1786.9,2036.4,2159.3,2403.9,2017,2123.2,1839.7,1354.8,1956.5,9550.6,8772.9,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P48735,"Isocitrate dehydrogenase [NADP], mitochondrial OS=Homo sapiens OX=9606 GN=IDH2 PE=1 SV=2",0,FALSE,124.464,49,25,75,22,452,50.9,8.69,280.15,25,0,0,12104.9,18536.7,17846.2,18741.1,11779.3,18387.9,19270.3,17715.6,10674.2,22495,21038.5,5178.4,15067.5,14911.6,17466.1,8937.4,15260.4,14641.4,12778.9,8382.9,22495,17949.1,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,Q15366,Poly(rC)-binding protein 2 OS=Homo sapiens OX=9606 GN=PCBP2 PE=1 SV=1,0,FALSE,123.751,56,16,53,7,365,38.6,6.79,182.11,16,0,3,3782.6,3480.5,3484.7,3704.4,3405.7,3509.6,3568.2,3250.3,3385.2,6136.9,5812.3,1618.1,2829.2,2911.7,3452.4,2584.1,2912.7,2711.1,2344.6,2658.5,6136.9,4958.8,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,Q9UI12,V-type proton ATPase subunit H OS=Homo sapiens OX=9606 GN=ATP6V1H PE=1 SV=1,0,FALSE,123.49,48,18,39,18,483,55.8,6.48,144.57,18,0,0,5993.3,6288.6,6193.1,6262.4,6173.6,5901.3,6340.6,6306.9,6505.6,4260.9,4357.6,2563.9,5111.7,5174.7,5836.4,4684.2,4897.6,4817.5,4549.4,5109.1,4260.9,3717.7,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,Q92688,Acidic leucine-rich nuclear phosphoprotein 32 family member B OS=Homo sapiens OX=9606 GN=ANP32B PE=1 SV=1,0,FALSE,123.336,43,16,87,9,251,28.8,4.06,282.51,16,0,0,13854.7,14430.8,14950.2,14623.8,16342.9,16338.1,14318,15331,13908.7,10428.2,10607.2,5926.9,11730.1,12491.9,13629,12400.1,13559.3,10878.7,11058.8,10923.1,10428.2,9049.5,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,Q8IZ69,tRNA (uracil-5-)-methyltransferase homolog A OS=Homo sapiens OX=9606 GN=TRMT2A PE=1 SV=2,0,FALSE,123.116,46,23,31,23,625,68.7,7.94,117.28,23,0,0,3854.5,3161.8,3078.1,3285.6,3174.2,3277,3090.3,2767.9,3298.5,7135.7,7073.1,1648.9,2570.1,2571.9,3062,2408.4,2719.6,2348,1996.6,2590.5,7135.7,6034.5,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,O95071,E3 ubiquitin-protein ligase UBR5 OS=Homo sapiens OX=9606 GN=UBR5 PE=1 SV=2,0,FALSE,123.04,12,31,41,31,2799,309.2,5.85,114.86,31,0,0,3593,3312.1,3328.8,3505.6,3368.2,4360.2,3311.6,4103,3322.5,7331.6,7157.4,1537,2692.2,2781.4,3267.1,2555.6,3618.6,2516.2,2959.6,2609.3,7331.6,6106.3,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P40121,Macrophage-capping protein OS=Homo sapiens OX=9606 GN=CAPG PE=1 SV=2,0,FALSE,122.81,43,14,40,14,348,38.5,6.19,156.64,14,0,0,11683,10204.7,10627.8,10120,10195.7,10564.2,9425.2,10213.2,10858.8,7034,7420.5,4997.9,8294.9,8880.2,9431.6,7735.9,8767.4,7161.2,7367.1,8527.9,7034,6330.8,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,Q15435,Protein phosphatase 1 regulatory subunit 7 OS=Homo sapiens OX=9606 GN=PPP1R7 PE=1 SV=1,0,FALSE,122.717,58,23,43,23,360,41.5,4.91,172.66,23,0,0,9919.4,9161.8,9107.8,9097.9,9077.9,9555.6,9256,9428.3,9360.4,8240.7,8037.8,4243.4,7447.2,7610.1,8479,6887.7,7930.3,7032.6,6801,7351.2,8240.7,6857.5,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,Q92841,Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens OX=9606 GN=DDX17 PE=1 SV=2,0,FALSE,122.476,37,26,49,18,729,80.2,8.27,153.53,26,0,0,4034.3,3802.4,3612.9,3817.9,3745.9,3909.1,3790.1,3603.8,3865,4848.2,4706.2,1725.9,3090.8,3018.8,3558.2,2842.1,3244.2,2879.7,2599.5,3035.4,4848.2,4015.1,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P30876,DNA-directed RNA polymerase II subunit RPB2 OS=Homo sapiens OX=9606 GN=POLR2B PE=1 SV=1,0,FALSE,122.429,26,27,42,27,1174,133.8,6.87,119.97,27,0,0,4215,4243.1,3876.6,4057.6,4147.9,4032.6,3977.1,3941.2,3965.2,6292.1,6413.5,1803.1,3449,3239.1,3781.6,3147.2,3346.7,3021.8,2843,3114,6292.1,5471.7,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P13010,X-ray repair cross-complementing protein 5 OS=Homo sapiens OX=9606 GN=XRCC5 PE=1 SV=3,0,FALSE,122.386,33,28,54,28,732,82.7,5.81,157.33,28,0,0,5990,5954,5842.9,6638.3,6135.5,6047.7,5763.8,3443.7,5374.5,28965.2,27053.9,2562.5,4839.7,4882.1,6186.7,4655.3,5019.1,4379.3,2484.1,4220.8,28965.2,23081.1,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens OX=9606 GN=MAPK1 PE=1 SV=3,0,FALSE,122.187,54,20,59,13,360,41.4,6.98,210.65,20,0,8,16120.9,14304.6,14518.3,14194,14437.5,14090.9,14383.9,14523.3,14273.7,10732.2,10625.4,6896.4,11627.5,12130.9,13228.4,10954.3,11694.3,10928.7,10476.2,11209.8,10732.2,9065.1,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,Q9H3G5,Probable serine carboxypeptidase CPVL OS=Homo sapiens OX=9606 GN=CPVL PE=1 SV=2,0,FALSE,121.98,32,15,57,15,476,54.1,5.62,212.14,15,0,0,13616.4,13200.3,13553.3,12599.1,13952.2,12704.5,13404.8,13494.9,12894.2,8961.8,8751.9,5825,10729.8,11324.7,11742,10586.1,10543.7,10184.8,9734.4,10126.3,8961.8,7466.8,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,Q9H9T3,Elongator complex protein 3 OS=Homo sapiens OX=9606 GN=ELP3 PE=1 SV=2,0,FALSE,121.79,51,24,47,24,547,62.2,8.88,151.7,24,0,0,9659.3,9222.8,8942.1,9635.2,8612.7,9026.9,8875.5,9127.4,9032,11154,11200.8,4132.2,7496.7,7471.7,8979.7,6534.8,7491.5,6743.5,6584,7093.2,11154,9556,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,O43592,Exportin-T OS=Homo sapiens OX=9606 GN=XPOT PE=1 SV=2,0,FALSE,121.497,27,23,51,23,962,109.9,5.39,192.56,23,0,0,11442.8,12691.2,13073.4,12752.5,12487.3,11404.3,12477.1,13801.7,11804.4,11191.6,12112.6,4895.1,10316,10923.6,11885,9474.7,9464.6,9480,9955.6,9270.5,11191.6,10333.9,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,O15143,Actin-related protein 2/3 complex subunit 1B OS=Homo sapiens OX=9606 GN=ARPC1B PE=1 SV=3,0,FALSE,121.404,55,19,44,18,372,40.9,8.35,171.92,19,0,1,9520,9723.5,9964.7,10024.1,9012.8,9858.3,9142.6,9331.5,9772.5,6496.3,6666,4072.6,7903.7,8326.1,9342.2,6838.4,8181.6,6946.5,6731.1,7674.8,6496.3,5687.2,High,High,High,High,High,High,High,High,High,High,High,1
